,ID,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
54,,1/27/24,Cadence Design Systems,Design Engineer (New College Grad 2024),"Austin, TX",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/design-engineer-new-college-grad-2024-at-cadence-design-systems-3812051667?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=4C3fMQ%2BE6iPufHBF8Nm9kg%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,,1/26/24,L3Harris Technologies,"Systems Engineer (New Grad- Rochester, NY) 1","Rochester, NY",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/systems-engineer-new-grad-rochester-ny-1-at-l3harris-technologies-3814404139?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=WaBchM1VJUPer8HkkCqidg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,,1/30/24,Burns & McDonnell,Assistant Mechanical Engineer - Mission Critical (Walnut Creek),"Walnut Creek, CA","Description  The Assistant Mechanical Engineer will work under the supervision of a licensed professional engineer to assist project teams to create world class designs for new projects, alterations and redevelopments on a variety of projects including power, process, corporate, healthcare, pipeline, airports, institutional, industrial, manufacturing, government and military facilities. The Assistant Mechanical Engineer will work with the project team throughout the design and construction process, adapting mechanical plans according to budget constraints, design factors or client needs.   Assists in the mechanical design of projects from the conceptual phase through design completion. Assists with modifying and reviewing production drawings for a variety of projects including, but not limited to: power plants, process facilities, industrial facilities, healthcare facilities, airports, educational institutions, commercial, and governmental and military facilities. Assists in designing mechanical components for project needs and requirements that are set forth by the project managers. Applies basic knowledge of commonly used mechanical engineering/design concepts, principles, practices, codes, and procedures within the mechanical engineering services industry. Assists with research and compiles project related data as required by the project managers. Assists with correcting and updating drawings provided by senior engineers to verify corrections are made within multiple CAD related software. Assists with client presentations, shop drawing review, and contract administration for the design of power, process, pipeline, industrial, healthcare, airports, educational institutions, commercial, and governmental and military facilities. Assists in performing field inspections, measurements or calculations for public and private clients. Performs other duties as assigned. Complies with all policies and standards.   Qualifications   Bachelor Degree in Mechanical Engineering or related degree from an ABET accredited program required or; Bachelor Degree in Mechanical or related Engineering Technology from an ABET accredited program and successful completion of Fundamentals of Engineering (FE) exam required. Prior internship and/or related consulting experience preferred. Basic knowledge in standard mechanical engineering techniques, principles and procedures. Excellent written and verbal communication skills. Ability to work methodically and analytically in a quantitative problem-solving environment and demonstrated critical thinking skills. Proficient computer skills (e.g. Microsoft Office Suite). Basic computer skills include AutoCAD, BIM (Revit), 3D Rendering Programs, hydraulic analysis, and HVAC analysis programs. Strong attention to detail, facilitation, team building, collaboration, organization and problem solving skills. Demonstrated leadership skills. Engineers in Training-EIT Certification preferred. Minimum of a 3.0 GPA strongly preferred. Involvement on campus or in the community preferred. Candidates must be legally authorized to work permanently (i.e., without time limitations, without restrictions or without need for work sponsorship) in the country where this position is located.   Salary Range  $81,000 - 120,000  The expected compensation range for this position is displayed in compliance with all local/state regulations. The expected compensation range for this position is based on a number of factors, including but not limited to: individual education, qualifications, prior work experience and work location. The total annual compensation package will consist of a base salary and eligibility to participate in our discretionary year-end incentive bonus program.  Benefits  Our extensive benefits package takes care of you so that you can focus on doing great work. From insurance and disability to time off and wellness programs, we provide the tools to meet your needs. As part of being 100% employee-owned, eligible employees participate in our Employee Stock Ownership Plan (ESOP) in addition to our 401(k) retirement program. For more information, please visit the Benefits & Wellness page.  EEO/Minorities/Females/Disabled/Veterans  Job Mechanical Engineering  Primary Location US-CA-Walnut Creek  Schedule: Full-time  Travel: Yes, 25 % of the Time  Req ID: 233126 Job Hire Type New Grad  #GFS  ",Not Applicable,Full-time,Engineering and Information Technology,Construction,https://www.linkedin.com/jobs/view/assistant-mechanical-engineer-mission-critical-walnut-creek-at-burns-mcdonnell-3728080112?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=0g5CMeYPrvMVbmGk31yV%2BA%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,,1/29/24,Jobot,Entry Level -New Grad Civil Engineer,"Paris, TX","Want to learn more about this role and Jobot? Click our Jobot logo and follow our LinkedIn page!  Job details  Entry Level + Training  This Jobot Job is hosted by Kevin Saxby  Are you a fit? Easy Apply now by clicking the ""Easy Apply"" button and sending us your resume.  Salary $72,000 - $80,000 per year  A Bit About Us  Opportunity to work in a small town environment with a well known engineering firm!    Why join us?    $72K starting pay for 40-hour weeks for a candidate with zero experience 40 hours vacation starting day one Pay for every hour worked (not just salary) Flex time 401(K) Profit-sharing On-the-job training The company pays for additional training used to obtain Professional Engineering (PE) license. Potential for future ownership   Job Details  Job Details  We are currently seeking a dynamic and ambitious Entry Level Civil Engineer to join our innovative construction team. This position provides an exceptional opportunity for a new graduate to gain hands-on experience and work on challenging projects in the construction industry. The selected candidate will be involved in a variety of civil engineering projects, with a focus on sewer, underground utilities, earthwork, drainage, wastewater, water, and design. This is a permanent, full-time position with opportunities for professional growth and development.  Responsibilities   Participate in the planning, design, and management of civil engineering projects mainly focused on sewer, underground utilities, earthwork, drainage, wastewater, and water. Assist with the preparation of design reports, plans, specifications, and cost estimates. Collaborate with project teams, including architects, engineers, project managers, and construction professionals. Conduct field inspections and site visits to monitor the progress of projects and ensure compliance with design specifications. Participate in the review and evaluation of project proposals and bids. Perform calculations and analysis using engineering formulas and skills. Utilize CAD software to prepare detailed drawings and designs. Ensure all projects adhere to safety regulations and environmental standards. Provide technical support for construction services operations. Assist in the preparation of engineering and construction schedules. Perform other related duties as assigned.   Qualifications   Bachelor’s Degree in Civil Engineering or related field. Entry level 0-2 years of experience in civil engineering or construction. Knowledge of civil engineering principles and practices, especially in areas like sewer, underground utilities, earthwork, drainage, wastewater, and water. Proficient (willing to learn) in CAD software and other relevant engineering design tools. Strong understanding of engineering standards, codes, and safety regulations. Excellent problem-solving skills, with a strong attention to detail. Exceptional communication and teamwork skills. Ability to manage multiple projects and meet deadlines. Familiarity with construction processes and methodologies. Ability to work in a fast-paced, challenging, and dynamic work environment. Must have a valid driver’s license and ability to travel as needed. EIT certification or ability to obtain within a year of employment is preferred.   This position offers a unique opportunity to be part of a team that shapes the infrastructure of our communities. If you're a motivated, hard-working, and detailed-oriented individual with a passion for civil engineering and construction, we'd love to hear from you.  Interested in hearing more? Easy Apply now by clicking the ""Easy Apply"" button.  Want to learn more about this role and Jobot?  Click our Jobot logo and follow our LinkedIn page!  ",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development,https://www.linkedin.com/jobs/view/entry-level-new-grad-civil-engineer-at-jobot-3815740032?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=2si4xJ6XkfMazI88sHxdoQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,,1/26/24,Westinghouse Electric Company,Electrical Engineer,"New Stanton, PA","Are you interested in being part of an innovative team that supports Westinghouse’s mission to provide clean energy solutions? At Westinghouse, we recognize that our employees are our most valuable asset and we seek to identify, attract and recruit the most qualified talent while recognizing and encouraging the value of diversity in the global workplace.  Electrical Engineer  Your Day-to-Day   Issue drawings, bill of materials and technical specifications for I&C Safety System products. Compile technical and quality documentation for procurement, testing and manufacturing of Safety System hardware products. Development of engineered solutions and part change evaluations to address obsolescence issues for various electrical products Interface with suppliers and/or manufacturing facilities to support technical issue resolution. Assist in the development of equipment qualification test procedures, support during testing, evaluate test results and review final reports Provide engineering support to customers, suppliers, manufacturing, and shop operations for a variety of products Perform engineering calculations in support of design or analysis of products. Execute assignments independently within project schedule and budgetary requirements. Ensure accuracy and completeness of assigned tasks.   Who You Are  As a successful candidate, you will bring the following to the team:   Minimum of Bachelor’s Degree in an Electrical Engineering or related technical field is required, along with a minimum of 0-3 years of engineering experience. 2023/2024 New Grad Knowledge of analog and digital circuit analysis/design desired. Awareness of field devices and control devices typical to the power industry is a plus Awareness of typical industry standard drawings including schematics, cabinet drawings and panel layouts is a plus Knowledge of Microsoft Office (Word, Excel, PowerPoint, Outlook, etc.) Experience in AutoCAD/3D Modeling software is a plus Strong verbal, written and interpersonal communication skills Strong planning and organizational skills. Ability to work effectively as part of a cross-functional team including engineering, testing, manufacturing, supply chain management, and suppliers Highly motivated, self-starter.   Why Westinghouse?  Westinghouse Electric Company Is The Global Nuclear Energy Industry’s First Choice For Safe, Clean, And Efficient Energy Solutions. We Enable Our Delivery Of This Vision By Living Our Value System   Safety and Quality Integrity and Trust Customer Focus and Innovation Speed and Passion to Win Teamwork and Accountability   Benefits  Westinghouse offers competitive benefits to all our employees around the globe to keep them healthy and enhance their well-being. In the U.S. the following are representative of what we offer:   Competitive Salary Comprehensive Health, Wellness and Income Protection Benefits 401(k) Savings Plan with Company Match Paid Vacations and Holidays Opportunities for Flexible Work Arrangements Educational Reimbursement Program Employee Referral Program   While our Global Headquarters are located in Cranberry Township, PA, we have over 9,000 employees working at locations in 19 different countries. You can learn more by visiting http://www.westinghousenuclear.com .  EOE of Minorities / Females / Vets / Disability.  Get Connected With Westinghouse On Social Media  Twitter | Facebook | LinkedIn | YouTube",Entry level,Full-time,Engineering and Information Technology,Utilities,https://www.linkedin.com/jobs/view/electrical-engineer-at-westinghouse-electric-company-3785831074?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=LkRoOr1Ggbc1w5wio9cLMw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,,1/27/24,QBE North America,NEW GRAD - Associate Underwriter (Accident & Health Training Program),"Marblehead, MA",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/new-grad-associate-underwriter-accident-health-training-program-at-qbe-north-america-3814634688?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=CH4AvsSc7hhv8JkzVeRRdg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,,1/26/24,Motorola Solutions,FPGA Engineer,"Schaumburg, IL","Company Overview  At Motorola Solutions, we're guided by a shared purpose - helping people be their best in the moments that matter - and we're living up to our purpose every day by solving for safer. Because people can only be their best when they not only feel safe, but are safe. We're solving for safer - safer communities, safer schools, safer hospitals, safer businesses - safer everywhere. We're building integrated technologies that help protect people, property and places. We're connecting public safety agencies and enterprises - enabling the collaboration that's critical for a more proactive approach to safety and security. We're committed to solving for safer every day because the work we do here matters.  Department Overview  Our Applied Technology organization puts some of Motorola Solutions' brightest minds on unique, highly challenging projects. Based on decades of experience with our customers, we apply leading-edge technologies to support security and safety throughout the world. We engineer our products from start to finish and manufacture them in-house. We're known for low volume and high capability with focused specialization in areas including software-defined radios, advanced antenna solutions, artificial intelligence and machine learning, cybersecurity, signals intelligence and more. We can't tell you much more about what we do, but we can tell you it's amazing.  Job Description  Responsibilities:   You will be a member of a small (1-6 person) multi-disciplinary team. Will be responsible for architecting/implementing/testing FPGA-based signal processing solutions for a variety of advanced wireless communications products. Will be involved in all phases of projects, from requirements analysis and system architecture, through coding (VHDL or Verilog), test bench design, verification, synthesis, and FPGA placement & routing. Will have regular interaction with customers. Will work closely with hardware and software developers with a hands-on role in product integration and debugging. Must be a flexible, results-oriented problem-solver who requires minimal supervision. Projects can vary greatly from one to the next, so you must thrive on variety and enjoy taking on new challenges. Opportunity to be involved in additional hardware engineering tasks including design, component selection, schematic entry, FPGA/CPLD design, and validation of the entire product depending on skills and interests. For digital design tasks, candidate will design and debug digital hardware circuits using oscilloscopes, logic analyzers, etc. Candidate must be able to work onsite 5 days a week at the Schaumburg location.   Desired Skills/Knowledge:   Experience developing FPGA designs using VHDL and/or Verilog. Experience designing Firmware for FPGA or CPLDs using Verilog or VHDL. Experience in digital signal processing (DSP) algorithms, techniques, design of filters, etc. Experience with EDA tools such as: Cadence Incisive, Modelsim, Xilinx Vivado, Altera Quartus, Matlab/Simulink, Git. Applicant should be capable of working at both the simulation level (in Matlab/Simulink, or equivalent) as well as the implementation/verification level. Schematic capture experience using Cadence Allegro is a plus Literacy with real-time embedded software, especially debugging.   #AppliedTech  Basic Requirements   Bachelor’s or Master's degree in Electrical or Computer Engineering Must be a U.S. citizen with the ability to obtain necessary security clearance as required by government contracts. Some contracts may have higher-level clearance requirements.   Travel Requirements  None  Relocation Provided  None  Position Type  New Grad  Referral Payment Plan  Yes  Our U.S. Benefits include:   Incentive Bonus Plans Medical, Dental, Vision benefits 401K with Company Match 9 Paid Holidays Generous Paid Time Off Packages Employee Stock Purchase Plan Paid Parental & Family Leave and more!   EEO Statement  Motorola Solutions is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic.  ",Entry level,Full-time,Engineering and Information Technology,Telecommunications,https://www.linkedin.com/jobs/view/fpga-engineer-at-motorola-solutions-3798847069?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=dhvX8ypqbSd0376Wd9yedQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,,1/30/24,"Newport News Shipbuilding, A Division of HII",$500 SIGN ON BONUS CNC MACHINIST NEW GRAD/ENTRY LEVEL,"Newport News, VA","Req ID: 34109  Team: X43 MACH INSTALL  Entity: Newport News Shipbuilding  US Citizenship Required for this Position: Yes  Full-Time  Shift: Multiple  Relocation: No relocation assistance available  Virtual/Telework Opportunity: No - Not eligible for telework  Travel Requirement: No  Clearance Required: No - Clearance Not Required to Start  Meet HII’s Newport News Shipbuilding  With more than 25,000 employees – including third-, fourth- and even fifth-generation shipbuilders – HII’s Newport News Shipbuilding (NNS) division is the largest industrial employer in Virginia. We’re the sole designer, builder and refueler of U.S. Navy nuclear aircraft carriers and one of two providers of U.S. Navy nuclear submarines. Our diverse and innovative team of professionals ranges from skilled trades to project managers, engineers and software developers to solution architects, technical subject matter experts, and system users. Anchored in our rich, 135-year history, we collaborate together at the forefront of technology, manufacturing, and integration of the most powerful and survivable naval ships in the world. Want to be part of the team? Apply today! We look forward to meeting you.  Job Description  Newport News Shipbuilding, a division of Huntington Ingalls Industries, is offering a $500 sign-on bonus to entry-level CNC Machinist new hires. Job seekers who apply are eligible for the sign-on bonus. Newport News Shipbuilding offers competitive pay, weekly paychecks, paid time off, paid holidays, medical benefits including an on-site health center, 401K company match, employee discounts, and more.  The sign-on bonus is for external new hires. Current Newport News Shipbuilding employees are ineligible for the sign-on bonus.  (CNC) Machinists operate various machines (manual and/or CNC) such as; lathes, mills, vertical machining centers, horizontal boring mills, etc. Inside machinists troubleshoot operations and take appropriate actions to correct. The machinists perform quality inspections, verifying dimensions of work piece are in accordance with drawing specifications.   Must be available to work all (3) shifts   Basic Qualifications  The candidate must be able to understand written instructions and strong math skills are essential. This is a construction environment involving extreme heights, confined spaces, physical labor and various weather conditions within a shipyard environment.  Preferred Qualifications  Prior CNC Machinist exp a plus. Completion of a CNC/Machinist/Precision Machining Certification/Diploma also a plus  Why HII  We build the world’s most powerful, survivable naval ships and defense technology solutions that safeguard our seas, sky, land, space and cyber. HII’s diverse workforce includes skilled tradespeople; artificial intelligence, machine learning (AI/ML) experts; engineers; technologists; scientists; logistics experts; and business administration professionals.  Recognized as one of America’s top large company employers, we are a values and ethics driven organization that puts people’s safety and well-being first. Regardless of your role or where you serve, at HII, you’ll find a supportive and welcoming environment, competitive benefits, and valuable educational and training programs for continual career growth at every stage of your career.  Working at HII is more than a job - it’s an opportunity to build a future. We offer comprehensive benefits including: medical, prescription drug, dental and vision plan choices, on-site health centers, tele-medicine, wellness resources, employee assistance programs, savings plan options (401K), financial education and planning tools, life insurance, tuition reimbursement, employee discounts, early childhood and post-secondary education scholarships, and more. Some benefits may vary depending on your specific division or work location.  Together we are working to ensure a future where everyone can be free and thrive.  Today’s challenges are bigger than ever, and the nation needs the best of us. It’s why we’re focused on hiring, developing and nurturing our diversity. We believe that diversity among our workforce strengthens the organization, stimulates creativity, promotes the exchange of ideas and enriches the work lives of all our employees.  All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, physical or mental disability, age, or veteran status or any other basis protected by federal, state, or local law. U.S. Citizenship may be required for certain positions.  Do You Need Assistance?  If you need a reasonable accommodation for any part of the employment process, please send an e-mail to buildyourcareer@hii-co.com and let us know the nature of your request and your contact information. Reasonable accommodations are considered on a case-by-case basis. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.  Additionally, you may also call 1-844-849-8463 for assistance. Press #2 for Newport News Shipbuilding.",Mid-Senior level,Full-time,Management and Manufacturing,Defense and Space Manufacturing,https://www.linkedin.com/jobs/view/%24500-sign-on-bonus-cnc-machinist-new-grad-entry-level-at-newport-news-shipbuilding-a-division-of-hii-3818200783?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=v7mdfse2ifr%2BYZLgcDUuAw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,,1/27/24,QBE North America,NEW GRAD - Associate Underwriter (Accident & Health Training Program),"Plano, TX","Primary Details  Time Type: Full time    Worker Type: Employee  As a member of QBE’s Next Generation Underwriting Program, you will experience what it’s like to be an Associate Underwriter in the real world. QBE provides an environment where you can hone in on your interpersonal skills, and get an opportunity to learn and develop, ultimately preparing you for your future career as an Underwriter on QBE’s team. Now is the perfect time to join our growing team! QBE will provide opportunities to work in a truly global environment with diverse teams and present valuable experiences, which will give you real-world exposure.  As a participant, you will:    Actively participate in a one-year accelerated development training program to learn the insurance industry and each line of business Have the opportunity to travel to QBE North America office’s Evaluate risk on current customers and prospects Interact and learn from executive leadership     Primary Responsibilities    Maintain and build upon product, system and process knowledge In partnership with assigned Underwriter, review, analyze and make recommendations based on QBE's appetite, pricing, coverage, and conditions of new business Evaluate risk on current customers and prospects Manage assigned book of business under the supervision of an Underwriter Own, maintain, and develop relationships with assigned select brokers Independently assist with the review and analysis of the portfolio to evaluate progress toward business objectives and proactively identify opportunities Provide a timely and professional level of service to internal and external customers Consistently adhere to underwriting compliance with business and regulatory requirements, service levels and within individual delegated authority Upon graduation from the program, you will have the opportunity to explore an Underwriting career within QBE!     Required Qualifications    High School Diploma/GED Currently attending a college or university with an anticipated graduation date of May 2024 and obtaining a degree in one the following disciplines: Risk Management, Economics, Mathematics, Finance or other general business degree that can be applied in a business environment. Course work or relevant experience with demonstrated achievements Ability to start work on June 3rd, 2024     Preferred Competencies/Skills    Follow established guidelines to focus on details and complete tasks attentively and thoroughly Communicate information in a clear, well-organized, and professional manner Understand customer needs and goals actively look for ways to meet them Multi-task and handle competing priorities Escalate issues when necessary Show drive and initiative Be a willing, effective, and efficient learner Professional, polished, poised and positive demeanor Demonstrated interest in enhancing knowledge; seeks opportunities to learn and grow Use multiple resources to gather and review information and use logic to address work-related issues and problem     Preferred Knowledge    Working knowledge of Microsoft Word, Excel and Outlook. Principles and processes for providing customer service Terminology, function and fundamental capabilities of common computer, software, information and communication technology devices, components, and concepts     About QBE  We can never really predict what’s around the corner, but at QBE we’re asking the right questions to enable a more resilient future by helping those around us build strength and embrace change to their advantage. We’re an international insurer that’s building momentum towards realizing our vision of becoming the most consistent and innovative risk partner.  And our people will be at the center of our success. We’re proud to work together, and encourage each other to enable resilience for our customers, our environment, our economies and our communities.  With more than 12,000 people working across 27 countries, we’re big enough to make a real impact, but small enough to provide a friendly workplace, where people are down-to-earth, passionate, and kind.  We believe this is our moment: What if it was yours too?  Your career at QBE — let’s make it happen!  https://www.linkedin.com/company/qbe-north-america/  US Only  US Only - Travel Frequency    Infrequent (approximately 1 – 4 trips annually)     US Only - Physical Demands    General office jobs: Work is generally performed in an office environment in which there is not substantial exposure to adverse environmental conditions. Must have the ability to remain in a stationary position for extended periods of time. Must be able to operate basic office equipment including telephone, headset and computer. Incumbent must be able to lift basic office equipment up to 20 lbs.     US Only - Disclaimer    To successfully perform this job, the individual must be able to perform each essential job responsibility satisfactorily. Reasonable accommodation may be made to enable an individual with disabilities to perform the essential job responsibilities.     Job Type    Individual Contributor     Global Disclaimer    The duties listed in this job description do not limit the assignment of work. They are not to be construed as a complete list of the duties normally to be performed in the position or those occasionally assigned outside an employee’s normal duties. Our Group Code of Ethics and Conduct addresses the responsibilities we all have at QBE to our company, to each other and to our customers, suppliers, communities and governments. It provides clear guidance to help us to make good judgement calls.     Base pay offered will vary depending on, but not limited to education, experience, skills, geographic location and business needs.  Hourly Salary Range: $27.00 - $40.50  AL, AR, AZ, Fresno, CA, CO (Remote), DE (Remote), FL, GA, IA, ID, IL (Remote), IN, KS, KY, LA, MI, MN, MO, MS, MT, NC, ND, NE, NH, NV, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WI, WV and WY  * * * * *  Hourly Salary Range: $29.80 - $44.70  CA (Remote, Irvine and Woodland), Greenwood Village CO, CT, Chicago IL, MA, MD, NY (Remote), RI, Houston TX and WA  * * * * *  Hourly Salary Range: $33.80 - $50.70  San Francisco CA, NJ and New York City NY  Benefit Highlights  You are more than your work – and QBE is more than a workplace, which is why QBE provides you with the benefits, support and flexibility to help you concentrate on living your best life personally and professionally. Employees scheduled over 30 hours a week will have access to comprehensive medical, dental, vision and wellbeing benefits that enable you to take care of your health.  We also offer a competitive 401(k) contribution and a paid-time off program. In addition, our paid-family and care-giver leaves are available to support our employees and their families. Regular full-time and part-time employees will also be eligible for QBE’s annual discretionary bonus plan based on business and individual performance.  QBE recognizes that exemplary benefits extend beyond benefits coverage and compensation. Flexibility in your working environment is important to maintaining balance and QBE is dedicated to ensuring employees achieve personal and professional integration by providing the opportunity for hybrid work arrangements.  How to Apply:  To submit your application, click ""Apply"" and follow the step by step process.  Equal Employment Opportunity:  QBE is an equal opportunity employer and is required to comply with equal employment opportunity legislation in each jurisdiction it operates.",Mid-Senior level,Full-time,Finance and Sales,Insurance,https://www.linkedin.com/jobs/view/new-grad-associate-underwriter-accident-health-training-program-at-qbe-north-america-3814631966?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=9UVdQz4FKZcz%2B6UeIoDQEA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,,1/30/24,Westwood Professional Services,Electrical Project Engineer,"Fort Worth, TX",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/electrical-project-engineer-at-westwood-professional-services-3766350920?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=SieFM26oPEvTK%2BiiEF0lOg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,,1/24/24,Westwood Professional Services,Electrical Project Engineer,"Westminster, CO","Overview  Electrical Project Engineer  Westwood Professional Services, Inc.  Westwood Professional Services, Inc. is seeking an Electrical Project Engineer to join our renewables team. The position is for an electrical engineer to design solar photovoltaic (PV) systems, which includes: plant layout, selecting appropriate system hardware, system optimization, determining power generation and interconnection requirements, and being a leader portions of the electrical engineering of projects. As an Electrical Project Engineer the individual will coordinate with the Project Lead, and Senior Engineers, to maintain firm standards and consistency as well as oversee junior engineers, electrical designers, and drafters on the project. This position may also include supervision responsibilities of an intern and/or new grad for timesheet/expense/PTO approval, annual growth planning, and disciplinary actions. Westwood has a highly experienced and dynamic team of individuals dedicated to providing high-level professional services to our clients.  Duties And Responsibilities   Lead electrical engineering portions of commercial and utility scale solar Responsible for contractual electrical engineering scope, verify incorporation into design, and coordination of change orders with project manager Responsible for insuring project deliverable schedules for electrical engineering scope are met Coordinate with other project disciplines including civil engineers, geotechnical/structural engineers, and surveyors Perform electrical engineering design and creation of construction documents for projects Responsible for performing electrical calculations and studies such as short circuit, load flow calculations and voltage drop. Coordinate with clients, utilities, and code enforcement officers. QA/QC of design work performed by interns, graduate engineers, and staff engineers Maintain awareness of currently available equipment and industry best practices Collaborate with and support electrical engineering teams in other offices as projects and workload sharing between offices dictates. Support construction of the projects by responding to contractor and owner requests including RFIs and submittal review Supervise, train, and/or mentor interns, graduate engineers, and design technicians    Required Experience   Bachelor of Science in Electrical Engineering or Renewable Engineering Program Knowledge of NEC and NESC Knowledge and proficiency in the use of an electrical power system modeling program(s) Approximately 3-7 years of experience in the design of electrical distribution, generation, and or general electrical construction Working knowledge and ability to read and create construction drawings and specification packages Proficiency with Microsoft Office products Professional appearance with excellent written and verbal communications skills, including ability to write detailed technical reports with minimal oversite Experience with progress reports, managing project data and communicating project requirements to internal stakeholders. Must have a strong work ethic along with a positive attitude Must be a supportive team member, able to work in a collaborative environment Must be self-motivated with an ability to balance multiple projects under tight deadlines with minimal supervision Ability to use AutoCAD in at least a limited capacity    Preferred Experience   Experience and knowledge of overall design and construction of utility scale PV and/or wind plants. NABCEP Certification Proficiency in AutoCAD Civil 3D Electrical PE License or ability to be licensed in multiple states Experience with energy storage systems (battery, flywheel, or capacitor) Proficiency with ETAP, CYMCAP, WinIGS, and/or DigSilent PowerFactory to model electrical power systems and perform load flow, short circuit, voltage drop, grounding, thermal, and protective device coordination studies and analysis. Experience with PVsyst, Helioscope, SAM, or other PV production modeling software Experience with Helios 3D. PVcase, RatedPower, SolarFarmer, or other PV site layout software Experience with PSS/E, PSCAD, EMTP, or similar software and performing transient/dynamic modeling and studies or power systems    Salary range for this role is $90,000-115,000 annually.  Compensation Range Minimum  USD $95,000.00/Yr.  Compensation Range Maximum  USD $130,000.00/Yr.  About Westwood Professional Services, Inc. (Westwood)  Westwood Professional Services Inc. (Westwood) was established in 1972 and has since become a leader in many markets it serves. Westwood is a full-service, multi-discipline professional engineering firm that serves wind, solar, battery storage, EV, power delivery, residential and commercial development, and public infrastructure clients and their projects from over 25 offices across the U.S.  In 2023, Zweig Group ranked Westwood nationally at #12 and #30, respectively on its Hot Firms and Best Firms to Work for lists. Zweig also awarded Westwood two national 2nd place awards for Marketing Excellence. Westwood was recently recognized as #79 in the ENR Top 500 Firms in 2023. The firm consistently ranks on industry top 25 lists and receives recognition for its involvement on award-winning projects nationwide.  Westwood provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. We believe that diverse backgrounds strengthen our business. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",Entry level,Full-time,Engineering and Information Technology,Engineering Services,https://www.linkedin.com/jobs/view/electrical-project-engineer-at-westwood-professional-services-3783115851?refId=dtyLlmJrARo7BojGhxVh5w%3D%3D&trackingId=Pjkxb9loVsuITqMA9EdQtw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
